group,subcat,name,type,unit,articul,display
Кавомати,КАПУЧИНО,"Капучино Crema Catalana Drink, ICS 10x1кг",Кавомат,кг,3333467311,"Капучино Каталана, 1 кг"
Кавомати,КАПУЧИНО,"Капучино Irish Cream, ICS 10x1кг",Кавомат,кг,333333559,"Капучино Ірл віскі, 1 кг"
Кавомати,КОФЕ,"Кофе в зернах Prezioso, Pelican Rouge 8x1кг",Кавомат,кг,333343101,"Кава в зернах, 1 кг"
Кавомати,Молоко и Сливки Regilat,"Молоко сухое гранулированное 100%, Regilait 10x0,5кг",Кавомат,кг,3333464520,"Молоко сухе, 0,5 кг"
Кавомати,РАЗМЕШИВАТЕЛИ,"105 мм Размешиватель, NISI _2 500 уп",Кавомат,шт,39,"Розмішувач пластик, 100 шт"
Кавомати,РАЗМЕШИВАТЕЛИ,140 мм Размешиватель (деревянный)_Хорека_ 1 тис.шт уп,Кавомат,шт,333339683,"Розмішувач дерево, 1000 шт"
Кавомати,САЛФЕТКИ,"Серветка  ""Барна"", упаковка 500 шт",Кавомат,шт,333346012,"Серветка, 500 шт"
Кавомати,САХАР,"Сахар фасованный, 1кг",Кавомат,кг,66,"Цукор фасований, 1 кг"
Кавомати,САХАР,"Цукор в стіках 5г ТМ ""ПЕЛІКАН""",Кавомат,кг,3333470396,"Цукор у стіках, 1 кг"
Кавомати,СТАКАНЫ,"Стакан 180 мл, Bestpresso _100 уп",Кавомат,шт,3333465538,"Стакан 180 мл, 100 шт"
Кавомати,СТАКАНЫ,Стакан 250 мл однослойный_50уп,Кавомат,шт,333344741,"Стакан 250 мл, 50 шт"
Кавомати,СТАКАНЫ,"Стакан 360 мл, Bestpresso_50уп x 1400ящ",Кавомат,шт,3333471110,"Стакан 360 мл, 50 шт"
Кавомати,ЧАЙ растворимый,"Чай растворимый Лимонный, ICS 10x1кг",Кавомат,кг,333333563,"Чай лимонний, 1 кг"
Кавомати,ЧАЙ растворимый,"Чай растворимый малиновый, Satro 10х1кг",Кавомат,кг,233809,"Чай малиновий, 1 кг"
Кавомати,ЧАЙ растворимый,"Чай растворимый мятный, Satro 10х1кг",Кавомат,кг,3333461018,"Чай м'ятний, 1 кг"
Кавомати,ШОКОЛАД,"Шоколад растворимый Bluelabel 14,6%, ICS 10x1кг",Кавомат,кг,333333562,"Шоколад розчинний, 1 кг"
Снеки,ВОДА,"Вода Крайна негаз SportLife  0,5л",Снеки,шт,3333461691,"Вода Крайна не газ, 0,5 л"
Снеки,ВОДА,"Вода Крайна негаз SportLife 0,888 л",Снеки,шт,333343987,"Вода Крайна не газ, 0,888 л"
Снеки,ВОДА,Напій RED BULL ORIGINAL,Снеки,шт,3333469949,Red Bull Original
Снеки,ВОДА,Напій RED BULL SUGAR FREE,Снеки,шт,3333469950,Red Bull без цукру
Снеки,ВОДА,"Кока-Кока 0,33 ж/б X12",Снеки,шт,3,"Кока-Кола 0,33 ж/б"
Снеки,ВОДА,Кока-Кола Кава Карамель 0.25 ж/б Х6,Снеки,шт,3333469175,"Кока-Кола Кава Карамель 0,25 ж/б"
Снеки,ВОДА,Лимонада від Моршинської 0.33 сл/газ,Снеки,шт.,,"Лимонад Моршинська 0,33 сл/газ"
Снеки,ВОДА,Лимонада від Моршинської 0.5 сл/газ ПЕТ,Снеки,шт,3333469662,"Лимонад Моршинська 0,5 сл/газ ПЕТ"
Снеки,ВОДА,"Напій соковий Elements 0,33л сл/газ",Снеки,шт,3333472510,"Напій Elements 0,33 сл/газ"
Снеки,ВОДА,"Пепси Кола 0,33 ж/б",Снеки,шт,333338205,"Пепсі 0,33 ж/б"
Снеки,ВОДА,"Пепси Кола 0,33 ж/б БЛЭК",Снеки,шт,333340031,"Пепсі 0,33 ж/б Блек"
Снеки,ВОДА,"Вода Aquarte, 0,5",Снеки,шт,3333466645,"Вода Aquarte, 0,5 л"
Снеки,ВОДА,"Кока-Кока 0,5 пет X12",Снеки,шт,8,"Кока-Кола 0,5 л"
Снеки,ВОДА,"Напиток с соком Jaffa, 0,5",Снеки,шт,3333466643,"Напій Jaffa, 0,5 л"
Снеки,ВОДА,"Пепси-Кола, 0,5",Снеки,шт,13,"Пепсі, 0,5 л ПЕТ"
Снеки,ВОДА,"Фанта 0,5 ПЕТ",Снеки,шт,3333467755,"Фанта, 0,5 л ПЕТ"
Снеки,ВОДА,"Чай ФЮЗ (черный) 0,5 ПЕТ",Снеки,шт,3333467754,"Чай Fuze чорний, 0,5 л"
Снеки,Батончики,M&M’s арахіс,Снеки,шт,3333469433,M&M's арахіс
Снеки,Батончики,Батончик Eat Me,Снеки,шт,923,Батончик Eat Me
Снеки,Батончики,Батончик Натс 42 г,Снеки,шт,3333468503,"Батончик Nuts, 42 г"
Снеки,Батончики,Батончик Рошен,Снеки,шт.,,Батончик Roshen
Снеки,Батончики,Баунти,Снеки,шт,922,Баунті батончик
Снеки,Батончики,Сникерс,Снеки,шт,916,Снікерс батончик
Снеки,Батончики,Халва Bonday 70г,Снеки,шт,333343045,"Халва Bonday, 70 г"
Снеки,Батончики,Шоколад M&M’s,Снеки,шт,907,Шоколад M&M's
Снеки,Горіхові снекі,Асорті горіхів Лайт Мікс 40 г,Снеки,шт,3333471525,"Асорті горіхів, 40 г"
Снеки,Горіхові снекі,Кеш'ю смажений солоний 40 г,Снеки,шт,3333471524,"Кеш'ю смажений солоний, 40 г"
Снеки,Горіхові снекі,Мигдаль смажено-солоний 40г,Снеки,шт,3333469647,"Мигдаль смажено-солоний, 40 г"
Снеки,М'ясні вироби,Кабаноси 40г,Снеки,шт,3333469173,"Кабаноси, 40 г"
Снеки,Печиво,"Кекс ""BISCOTTI"" 55г",Снеки,шт,3333472998,"Кекс Biscotti, 55 г"
Снеки,Печиво,Круассан,Снеки,шт,918,Круасан
Снеки,Печиво,Печенье Сендвич  (big 100),Снеки,шт,333343048,"Печиво Сендвіч, 100 г"
Снеки,Печиво,ПЕЧИВО ЗДОБНЕ «BISCOTTI» 110 г,Снеки,шт,3333473000,"Печиво здобне Biscotti, 110 г"
Снеки,Печиво,"Печиво здобне «Тарді» «BISCOTTI» 0,1 кг",Снеки,шт,3333473001,"Печиво здобне Тарді, 100 г"
Снеки,Печиво,Печиво Крекер Yarych80г,Снеки,шт,3333469396,"Крекер Yarych, 80 г"
Снеки,Печиво,"Пончик ""TOТО"" 40гр*24шт",Снеки,шт,3333468782,"Пончик Toto, 40 г"
Снеки,Печиво,Свиточ Артек,Снеки,шт,917,Вафлі Артек
Снеки,Печиво,Соломка солона Croco Sticks 40 г,Снеки,шт,3333469542,"Соломка солона, 40 г"
Снеки,Печиво,Чіпси 25 г,Снеки,шт,908,"Чіпси, 25 г"
Снеки,Спортивне печиво,"Печиво протеїнове Craft Whey, 60 г",Снеки,шт,3333471862,"Протеїнове печиво Craft Whey, 60 г"
Снеки,Спортивне печиво,Протеїнове печиво Born Winner 75 г,Снеки,шт,3333472289,"Протеїнове печиво Born Winner, 75 г"
Снеки,Спортивне печиво,Батончик Born Winner Flapjackі 90 г,Снеки,шт,3333472230,"Батончик Born Winner Flapjack, 90 г"
Снеки,Спортивне печиво,"Батончик Excelent Protein bar, 85 г,_ NUTREND",Снеки,шт,333343985,"Батончик Nutrend Excelent, 85 г"
Снеки,Спортивне печиво,Батончик Exclusive Protein Bar (1 x 85 g),Снеки,шт,3333472731,"Батончик Exclusive Protein, 85 г"
Снеки,Спортивне печиво,Батончик GoOn Protein 33%,Снеки,шт,333343056,Батончик GoOn Protein 33%
Снеки,Спортивне печиво,Батончик MILK PRO 29% protein 60 г,Снеки,шт,3333471294,"Батончик Milk Pro 29%, 60 г"
Снеки,Спортивне печиво,Батончик Protein bar (50%),Снеки,шт,333343984,Батончик Protein 50%
Снеки,Спортивне печиво,Батончик Protein bar Progress (60 гр),Снеки,шт,3333469540,"Батончик Progress Protein, 60 г"
Снеки,Спортивне печиво,Батончик TiggerZero CHOCO Protein Bar 20x60g Marzipan Cake,Снеки,шт,3333470077,"Батончик Tigger Zero Choco, 60 г"
Снеки,Спортивне печиво,Батончик Барджі 40 гр,Снеки,шт,3333468645,"Батончик Барджі, 40 г"
Снеки,Спортивне печиво,Батончик енергетичний Spаce Bite 40 г,Снеки,шт,3333472534,"Батончик енергетичний Space Bite, 40 г"
Снеки,Спортивне печиво,Батончик протеїновий SPACE BITE 45 г,Снеки,шт,3333471113,"Батончик протеїновий Space Bite, 45 г"
Снеки,Спортивне печиво,Протеїновий батончик Born Winner U1 О.УСИКА,Снеки,шт,3333472355,Батончик Born Winner U1 (Усик)
Снеки,Спортивне печиво,Шоколадний батончик Fizi 45 гр,Снеки,шт,3333469631,"Батончик Fizi шоколадний, 45 г"
Снеки,Спортивне печиво,4MOVE Isotonic Sports drink 750 ml,Снеки,шт,3333463660,"Вода 4MOVE Ізотонік, 750 мл"
Снеки,Спортивне печиво,"BCAA energy Drink, 330 ml ПЕТ",Снеки,шт,3333472065,"BCAA Energy, 330 мл"
Снеки,Спортивне печиво,"BCAA vitamin Drink, 330 ml",Снеки,шт,3333470645,"BCAA Vitamin, 330 мл"
Снеки,Спортивне печиво,"Carnitine drink 0,75",Снеки,шт,3333468687,"Вода Carnitine, 0,75 л"
Снеки,Спортивне печиво,"OSHEE 0,75",Снеки,шт,3333468689,"Вода Oshee, 0,75 л"
Снеки,Спортивне печиво,"Oshee Zero 0,555 л",Снеки,шт,3333468690,"Вода Oshee Zero, 0,555 л"
Снеки,Спортивне печиво,"Вода спортивна Värska Naturaal н/г 0,75",Снеки,шт.,,"Вода Värska н/газ, 0,75 л"
Снеки,Спортивне печиво,"Мінеральна вода ""Аква Миргород Детокс"" с/г 0,33л",Снеки,шт,3333472676,"Аква Миргород Детокс с/газ, 0,33 л"
Снеки,Спортивне печиво,"Мінеральна вода ""Аква Миргород Детокс"" с/г 0,5л",Снеки,шт,3333472677,"Аква Миргород Детокс с/газ, 0,5 л"
Снеки,Спортивне печиво,"Питна вода  ""AQUA Миргород COLLAGEN  0,33 л",Снеки,шт,3333472679,"Аква Миргород Collagen, 0,33 л"
Снеки,Спортивне печиво,"Питна вода  ""AQUA Миргород NATURAL ENERGY  0,33 л",Снеки,шт,3333472678,"Аква Миргород Energy, 0,33 л"
Снеки,Спортивне печиво,"Питна вода ""Аква Миргород з вітаміном D3"" 4000 МО 0,33 л н/г",Снеки,шт,3333472675,"Аква Миргород D3, 0,33 л"
Снеки,Спортивне печиво,Спортивна вода Absolute Lifestyle  AMINO MIX 600 мл,Снеки,шт.,,"Вода Absolute Amino Mix, 600 мл"
Снеки,Спортивне печиво,Передтренувальний комплекс Ulta PUMP - 100 мл,Снеки,шт,3333471775,"Передтрен. Ulta Pump, 100 мл"
Снеки,Спортивне печиво,Шот BCAA Shot 1serving (60 мл),Снеки,шт,3333465039,"Шот BCAA, 60 мл"
Снеки,Спортивне печиво,Шот L-carnit.shot 60 ml,Снеки,шт,333343989,"Шот L-карнітин, 60 мл"
Господарчі товари,,"Вода бутилированная 18,9 л",Кавомат,л,3333462232,"Вода бутильована, 18,9 л"
Господарчі товари,,Мешки для мусора 60л.,Кавомат,шт,3333464900,"Пакети для сміття, 60 л 1 уп."
