region,sublocation,address,inv,atype,model,coffee_only
СЛ Теремки Клуб,,"Спорт Лайф, ул. Самойла Кошки, 8 (минус 1-й этаж) авт.2 СНЕК",1042,Снеки,ARIA EVO,0
СЛ Теремки Клуб,,"Спорт Лайф, ул. Самойла Кошки, 8 (1-й этаж, тренажерный зал) авт.3 СНЕК",1043,Снеки,ARIA EVO,0
СЛ Теремки Клуб,,"Спорт Лайф, ул. Самойла Кошки, 8 (1-й этаж, тренажерный зал) авт.2 СНЕК",1065,Снеки,ARIA EVO,0
СЛ Теремки Клуб,,"Спорт Лайф, ул. Самойла Кошки, 8 (1-й этаж, тренажерный зал) СНЕК",1207,Снеки,ARIA+ L EVO 6-44 MA ALFA_,0
СЛ Теремки Клуб,,"Спорт Лайф, ул. Самойла Кошки, 8 (2-й этаж, тренажерный зал) СНЕК",1238,Снеки,ARIA L EVO 6-46 MA CO ALFA SLAVE,0
СЛ Теремки Клуб,,"Спорт Лайф, ул. Самойла Кошки, 8 (2-й этаж, тренажерный зал) авт.2 СНЕК",1264,Снеки,ARIA L EVO 6-46 MA CO ALFA,0
СЛ Теремки Клуб,,"Спорт Лайф, Smart, ул. Самойло Кошки, 8 СНЕК",1386,Снеки,ARIA L EVO 6-46 MA CO ALFA,0
СЛ Теремки Клуб,,"Спорт Лайф, ул. Самойла Кошки, 8 (минус 1-й, вход) СНЕК",3082,Снеки,ROBIMAT 75 - DBA30_,0
СЛ Теремки Клуб,,"Спорт Лайф, ул. Самойла Кошки, 8 (минус 1-й этаж) СНЕК",3120,Снеки,ROBIMAT 75 - DBA30_,0
СЛ Теремки Клуб,,"Спорт Лайф, ул. Самойла Кошки, 8 (2-й этаж, тренажерный зал) авт.3 СНЕК",3133,Снеки,SFERA 6-40 R/IQ LX*_,0
СЛ Теремки Клуб,,"Спорт Лайф, ул. Самойла Кошки, 8 (зона сквош) СНЕК",3277,Снеки,SNAKKY LX 6-30,0
СЛ Теремки Клуб,,"Спорт Лайф, ул. Самойла Кошки, 8 (зона сквош) авт.2 СНЕК",3310,Снеки,Necta Snakky Ry_,0
СЛ Теремки Клуб,,"Спорт Лайф, ул. Самойла Кошки, 8 (лаунж зона) СНЕК",3311,Снеки,Necta Snakky_,0
Кременчук,Кременчук Нова пошта,"Новая Почта, Кременчуг, ул. Флотская, 2 (терминал №1)",343,Кавомат,LEI 400,0
Кременчук,Кременчук Спорт Лайф,"Спорт Лайф, Кременчук, ул. Леси Украинки, 120 СНЕК",1148,Снеки,ARIA EVO,0
Кременчук,Кременчук Спорт Лайф,"Спорт Лайф, Кременчук, ул. Леси Украинки, 120 лаунж зона СНЕК",1256,Снеки,ARIA L EVO 6-46 MA CO ALFA,0
Кременчук,Кременчук Спорт Лайф,"Спорт Лайф, Кременчук, ул. Леси Украинки, 120 (вход, авт.4) СНЕК",3117,Снеки,Necta Snakky,0
Кременчук,Кременчук Спорт Лайф,"Спорт Лайф, Кременчук, ул. Леси Украинки, 120 (вход, авт.2) СНЕК",3179,Снеки,SNAKKY RY FOOD 4° 6-33 IQ_,0
Кременчук,Кременчук Спорт Лайф,"Спорт Лайф, Кременчук, ул. Леси Украинки, 120 (вход) СНЕК",3279,Снеки,SNAKKY LX 6-30,0
Кременчук,Кременчук Спорт Лайф,"Спорт Лайф, Кременчук, ул. Леси Украинки, 120 (вход, авт.3) СНЕК",3280,Снеки,SNAKKY LX 6-30,0
Чернівці,,"Спорт Лайф, Черновцы, ул. Героев Майдана, 71",1080,Кавомат,LEI 600 SMART,0
Чернівці,,"Спорт Лайф, Черновцы, ул. Героев Майдана, 71 СНЕК",1241,Снеки,ARIA+ L EVO 6-44 MA ALFA_,0
Чернівці,,"Спорт Лайф, Черновцы, ул. Героев Майдана, 71 лаунж зона СНЕК",1242,Снеки,ARIA L EVO 6-46 MA CO ALFA,0
Чернівці,,"Спорт Лайф, Черновцы, ул. Героев Майдана, 71 тренажерный зал СНЕК",1275,Снеки,ARIA L EVO 6-46 MA CO ALFA,0
Чернівці,,"Спорт Лайф, Черновцы, ул. Героев Майдана, 71 тренажерный зал - 2 авт. СНЕК",3064,Снеки,BIANCHI ARIA M MASTER,0
Чернівці,,"Спорт Лайф, Черновцы, ул. Героев Майдана, 71 (вход) СНЕК",3212,Снеки,SNAKKY MAX FOOD 7-36 R/IQ_,0
