group,subcat,name,type,unit,articul
Кавомати,КАПУЧИНО,"Капучино Crema Catalana Drink, ICS 10x1кг",Кавомат,шт.,
Кавомати,КАПУЧИНО,"Капучино Irish Cream, ICS 10x1кг",Кавомат,шт.,
Кавомати,КОФЕ,"Кофе в зернах Prezioso, Pelican Rouge 8x1кг",Кавомат,шт.,
Кавомати,Молоко и Сливки Regilat,"Молоко сухое гранулированное 100%, Regilait 10x0,5кг",Кавомат,шт.,
Кавомати,РАЗМЕШИВАТЕЛИ,"105 мм Размешиватель, NISI _2 500 уп",Кавомат,шт.,
Кавомати,РАЗМЕШИВАТЕЛИ,140 мм Размешиватель (деревянный)_Хорека_ 1 тис.шт уп,Кавомат,шт.,
Кавомати,САЛФЕТКИ,"Серветка  ""Барна"", упаковка 500 шт",Кавомат,шт.,
Кавомати,САХАР,"Сахар фасованный, 1кг",Кавомат,шт.,
Кавомати,САХАР,"Цукор в стіках 5г ТМ ""ПЕЛІКАН""",Кавомат,шт.,
Кавомати,СТАКАНЫ,"Стакан 180 мл, Bestpresso _100 уп",Кавомат,шт.,
Кавомати,СТАКАНЫ,Стакан 250 мл однослойный_50уп,Кавомат,шт.,
Кавомати,СТАКАНЫ,"Стакан 360 мл, Bestpresso_50уп x 1400ящ",Кавомат,шт.,
Кавомати,ЧАЙ растворимый,"Чай растворимый Лимонный, ICS 10x1кг",Кавомат,шт.,
Кавомати,ЧАЙ растворимый,"Чай растворимый малиновый, Satro 10х1кг",Кавомат,шт.,
Кавомати,ЧАЙ растворимый,"Чай растворимый мятный, Satro 10х1кг",Кавомат,шт.,
Кавомати,ШОКОЛАД,"Шоколад растворимый Bluelabel 14,6%, ICS 10x1кг",Кавомат,шт.,
Снеки,ВОДА,"Вода Крайна негаз SportLife  0,5л",Снеки,шт.,
Снеки,ВОДА,"Вода Крайна негаз SportLife 0,888 л",Снеки,шт.,
Снеки,ВОДА,Напій RED BULL ORIGINAL,Снеки,шт.,
Снеки,ВОДА,Напій RED BULL SUGAR FREE,Снеки,шт.,
Снеки,ВОДА,"Кока-Кока 0,33 ж/б X12",Снеки,шт.,
Снеки,ВОДА,Кока-Кола Кава Карамель 0.25 ж/б Х6,Снеки,шт.,
Снеки,ВОДА,Лимонада від Моршинської 0.33 сл/газ,Снеки,шт.,
Снеки,ВОДА,Лимонада від Моршинської 0.5 сл/газ ПЕТ,Снеки,шт.,
Снеки,ВОДА,"Напій соковий Elements 0,33л сл/газ",Снеки,шт.,
Снеки,ВОДА,"Пепси Кола 0,33 ж/б",Снеки,шт.,
Снеки,ВОДА,"Пепси Кола 0,33 ж/б БЛЭК",Снеки,шт.,
Снеки,ВОДА,"Вода Aquarte, 0,5",Снеки,шт.,
Снеки,ВОДА,"Кока-Кока 0,5 пет X12",Снеки,шт.,
Снеки,ВОДА,"Напиток с соком Jaffa, 0,5",Снеки,шт.,
Снеки,ВОДА,"Пепси-Кола, 0,5",Снеки,шт.,
Снеки,ВОДА,"Фанта 0,5 ПЕТ",Снеки,шт.,
Снеки,ВОДА,"Чай ФЮЗ (черный) 0,5 ПЕТ",Снеки,шт.,
Снеки,Батончики,M&M’s арахіс,Снеки,шт.,
Снеки,Батончики,Батончик Eat Me,Снеки,шт.,
Снеки,Батончики,Батончик Натс 42 г,Снеки,шт.,
Снеки,Батончики,Батончик Рошен,Снеки,шт.,
Снеки,Батончики,Баунти,Снеки,шт.,
Снеки,Батончики,Сникерс,Снеки,шт.,
Снеки,Батончики,Халва Bonday 70г,Снеки,шт.,
Снеки,Батончики,Шоколад M&M’s,Снеки,шт.,
Снеки,Горіхові снекі,Асорті горіхів Лайт Мікс 40 г,Снеки,шт.,
Снеки,Горіхові снекі,Кеш'ю смажений солоний 40 г,Снеки,шт.,
Снеки,Горіхові снекі,Мигдаль смажено-солоний 40г,Снеки,шт.,
Снеки,М'ясні вироби,Кабаноси 40г,Снеки,шт.,
Снеки,Печиво,"Кекс ""BISCOTTI"" 55г",Снеки,шт.,
Снеки,Печиво,Круассан,Снеки,шт.,
Снеки,Печиво,Печенье Сендвич  (big 100),Снеки,шт.,
Снеки,Печиво,ПЕЧИВО ЗДОБНЕ «BISCOTTI» 110 г,Снеки,шт.,
Снеки,Печиво,"Печиво здобне «Тарді» «BISCOTTI» 0,1 кг",Снеки,шт.,
Снеки,Печиво,Печиво Крекер Yarych80г,Снеки,шт.,
Снеки,Печиво,"Пончик ""TOТО"" 40гр*24шт",Снеки,шт.,
Снеки,Печиво,Свиточ Артек,Снеки,шт.,
Снеки,Печиво,Соломка солона Croco Sticks 40 г,Снеки,шт.,
Снеки,Печиво,Чіпси 25 г,Снеки,шт.,
Снеки,Спортивне печиво,"Печиво протеїнове Craft Whey, 60 г",Снеки,шт.,
Снеки,Спортивне печиво,Протеїнове печиво Born Winner 75 г,Снеки,шт.,
Снеки,Спортивне печиво,Батончик Born Winner Flapjackі 90 г,Снеки,шт.,
Снеки,Спортивне печиво,"Батончик Excelent Protein bar, 85 г,_ NUTREND",Снеки,шт.,
Снеки,Спортивне печиво,Батончик Exclusive Protein Bar (1 x 85 g),Снеки,шт.,
Снеки,Спортивне печиво,Батончик GoOn Protein 33%,Снеки,шт.,
Снеки,Спортивне печиво,Батончик MILK PRO 29% protein 60 г,Снеки,шт.,
Снеки,Спортивне печиво,Батончик Protein bar (50%),Снеки,шт.,
Снеки,Спортивне печиво,Батончик Protein bar Progress (60 гр),Снеки,шт.,
Снеки,Спортивне печиво,Батончик TiggerZero CHOCO Protein Bar 20x60g Marzipan Cake,Снеки,шт.,
Снеки,Спортивне печиво,Батончик Барджі 40 гр,Снеки,шт.,
Снеки,Спортивне печиво,Батончик енергетичний Spаce Bite 40 г,Снеки,шт.,
Снеки,Спортивне печиво,Батончик протеїновий SPACE BITE 45 г,Снеки,шт.,
Снеки,Спортивне печиво,Протеїновий батончик Born Winner U1 О.УСИКА,Снеки,шт.,
Снеки,Спортивне печиво,Шоколадний батончик Fizi 45 гр,Снеки,шт.,
Снеки,Спортивне печиво,4MOVE Isotonic Sports drink 750 ml,Снеки,шт.,
Снеки,Спортивне печиво,"BCAA energy Drink, 330 ml ПЕТ",Снеки,шт.,
Снеки,Спортивне печиво,"BCAA vitamin Drink, 330 ml",Снеки,шт.,
Снеки,Спортивне печиво,"Carnitine drink 0,75",Снеки,шт.,
Снеки,Спортивне печиво,"OSHEE 0,75",Снеки,шт.,
